0,"С точки зрения безопасности жизнедеятельности, производственная и непроизводственная среды в совокупности составляют:","1. Социальную среду.
2. Трудовую среду.
3. Бытовую среду.
4. Среду обитания."
1,Основным направлением  практической деятельности в области безопасности жизнедеятельности является:,"1. Мониторинг среды и контроль источников опасностей.
2. Разработка и реализация методов защиты человека от негативных воздействий среды обитания.
3. Проектирование и эксплуатация технических средств, обеспечивающих минимизацию опасных факторов окружающей среды
4. Все вышеперечисленные направления."
2,"Безопасность жизнедеятельности,  как научное направление, связана с: 












","1. Формированием знаний об особенностях всех аспектов деятельности человека, как биологического существа и члена общества. 
2. Изучением взаимодействия человека с окружающей средой с целью обеспечения комфортных и безопасных условий существования.
3. Областью теоретических знаний о принципах организации существования человека, как субъекта правовой, экономической и социальной сфер современного общества. 
4. Исследованиями особенностей  служб безопасности  при взаимодействии с предприятиями различного профиля."
3,Среда обитания это:,"1. Окружающая человека среда, обусловленная влиянием совокупности факторов, действующих в данный момент и способных оказывать прямое или косвенное, немедленное или отдаленное воздействие на деятельность человека, его здоровье и потомство.
2. Окружающая человека среда, обусловленная влиянием совокупности факторов, неспособных в данный момент оказывать прямое или косвенное немедленное или отдаленное воздействие на деятельность человека, его здоровье и потомство.
3. Окружающая человека среда, обусловленная влиянием главного физического фактора, способного в данный момент оказывать прямое или косвенное немедленное или отдаленное воздействие на деятельность человека, его здоровье и потомство.
4. Все выше представленные определения."
4,Биосфера это….,"1. Атмосфера и  часть гидросферы.
2. Часть атмосферы, гидросфера и часть литосферы.
3. Часть литосферы и гидросфера.
4. Часть атмосферы и литосфера."
5,Комфортное состояние человека при взаимодействии в системе «человек – среда обитания» является основой…,"1. Исключения вероятности возникновения и развития негативных явлений в производственном процессе. 
2. Снижения работоспособности и повышения мотивации к отдыху.
3. Роста работоспособности, эффективного отдыха, сохранения здоровья.
4. Снижения концентрации внимания, связанного с ожиданием окончания рабочего дня."
6,Работоспособность характеризуется…,"1. Возможностью  выполнять задачи связанные с высокими затратами  интеллектуального потенциала.
2. Потенциальной возможностью человека выполнять на протяжении заданного времени и с достаточной эффективностью работы определенного объема и качества. 
3. Способностью реализации различных видов деятельности без существенных физических и умственных затрат.
4. Целесообразностью деятельности человека."
7,"Регион биосферы, адаптированный к бытовым, материальным и социально-экономическим потребностям человека с помощью технических средств, называется:","1. Антропосфера.
2. Биосфера.
3. Ноосфера.
4. Техносфера.
"
8,"Стихийные явления, которые затрудняют функционирование организма человека или представляют угрозу для его жизни и здоровья,  классифицируются как……","1. Антропогенные опасности.
2. Природные опасности.
3. Социальные опасности.
4. Технические опасности."
9,"При взаимодействии человека и техносферы в системе «человек – среда обитания» характерны следующие состояния, влияющие на человека:","1. Комфортное и допустимое.
2. Опасное.
3. Чрезвычайно опасное.
4. Все вышеперечисленные состояния."
10,Деятельность человека осуществляется путём реализации процесса:,"1. Производственных отношений.
2. Создания материальных ценностей.
3. Физического и умственного труда. 
4. Умственного труда, направленного на механизацию производства."
11,"Неблагоприятное взаимодействие человека с растительным и животным миром представляет собой………
","1. Антропогенную опасность.
2. Природную опасность. 
3. Биологическую опасность.
4. Все вышеперечисленные опасности."
12,"К компонентам окружающей среды, взаимодействующим с человеком, относятся факторы:","1. Физические и химические.
2. Биологические.
3. Психофизиологические
4. Все вышеперечисленные факторы."
13,Мониторинг безопасности жизнедеятельности - это:,"1. Процесс непрерывного наблюдения, оценки и прогноза изменений в  системе «человек- окружающая среда» с целью выявления состояний, угрожающих здоровью человека, инфраструктуре и техническим средствам производства.
2. Деятельность по осуществлению независимых вневедомственных мероприятий, проводимых на основе договора и заключающихся в сборе и оценке информации о состоянии безопасности объекта или системы.
3. Автоматизация сбора, обработки, хранения и передачи информации заинтересованным организациям и населению.
4. Составная часть экспертизы условий труда"
14,Какое направление науки изучает принципы оптимальной адаптации человека и технических средств с целью обеспечения безопасного и эффективного труда?,"1. Экономика.
2. Психология.
3. Физиология.
4. Эргономика."
15,"Техносфера представляет собой:
","1. Регион, в который осуществляется доставка технических средств.
2. Регион, в котором произошло преобразование окружающей среды, реализованное с помощью воздействия технических средств и направленное на удовлетворение материальных, экономических и социальных  потребностей людей. 
3. Регион, в котором периодически эксплуатируются различные машины и механизмы.
4. Регион, в котором сосредоточена совокупность технических средств.
"
16,"В процессе обеспечения безопасности жизнедеятельности используют исходные положения и идеи, представленные в:
","1. Ориентирующих принципах.
2. Технических принципах.
3. Организационных и управленческих принципах.
4. Во всех представленных принципах."
17,Следствием хозяйственной деятельности человека является генерация……,"1. Биологических опасностей.
2. Антропогенных опасностей.
3. Социальных опасностей. 
4. Природных опасностей."
18,"Состояние человека, при котором воздействие на него внешних факторов не превышает допустимых значений называется: ","1. Комфортность.
2. Безопасность.
3. Нормальность. 
4. Обычность."
19,Квантификация опасностей это:,"1. Разделение факторов опасности по существенным признакам действия на организм человека. 
2. Классификация факторов опасности.
3. Введение количественных характеристик для оценки действия фактора опасности.
4. Все вышеперечисленные определения."
20,Недопустимыми состояниями для жизнедеятельности человека являются:,"1. Комфортное, допустимое, опасное, чрезвычайно опасное. 
2. Комфортное, допустимое.
3. Допустимое, опасное, чрезвычайно опасное.
4. Опасное, чрезвычайно опасное."
21,"Деятельность человека, являющаяся потенциально опасной:","1. Работа по защите государственного суверенитета.
2. Все виды деятельности.
3. Сложная физическая работа. 
4. Работа, связанная с обеспечением безопасности населения."
22,"В процессе  жизнедеятельности человек взаимодействует с потоками:
","1. Вещества.
2. Энергии.
3. Информации.
4. Всеми вышеперечисленными потоками."
23,"Опасным для человека влиянием в системе «человек – среда обитания» является:
","1. Воздействие среды обитания, вызывающее чувство дискомфорта. 
2. Вероятность получения травм, летальные исходы, разрушения в среде обитания.
3. Негативное воздействие одного или совокупности факторов среды обитания, угрожающих здоровью и жизни человека. 
4. Влияние среды обитания на снижение эффективности жизнедеятельности человека."
24,Какой метод оценки  фактора опасности применяется при недостаточной степени изученности данного фактора?,"1. Экономико-статистический.
2. Экспертных оценок. 
3. Аналитический.
4. Вербальный.
"
